Histrogram of 2.2a
0.0000000 ~ 0.0078125 :    7	|||||||
0.0078125 ~ 0.0156250 :   14	||||||||||||||
0.0156250 ~ 0.0234375 :   14	||||||||||||||
0.0234375 ~ 0.0312500 :   25	|||||||||||||||||||||||||
0.0312500 ~ 0.0390625 :   31	|||||||||||||||||||||||||||||||
0.0390625 ~ 0.0468750 :   69	|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
0.0468750 ~ 0.0546875 :   59	|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
0.0546875 ~ 0.0625000 :   56	||||||||||||||||||||||||||||||||||||||||||||||||||||||||
0.0625000 ~ 0.0703125 :   63	|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
0.0703125 ~ 0.0781250 :   98	||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
0.0781250 ~ 0.0859375 :   64	||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
0.0859375 ~ 0.0937500 :   79	|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
0.0937500 ~ 0.1015625 :   80	||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
0.1015625 ~ 0.1093750 :   66	||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
0.1093750 ~ 0.1171875 :   87	|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
0.1171875 ~ 0.1250000 :   69	|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
0.1250000 ~ 0.1328125 :   72	||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
0.1328125 ~ 0.1406250 :   67	|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
0.1406250 ~ 0.1484375 :   48	||||||||||||||||||||||||||||||||||||||||||||||||
0.1484375 ~ 0.1562500 :   52	||||||||||||||||||||||||||||||||||||||||||||||||||||
0.1562500 ~ 0.1640625 :   42	||||||||||||||||||||||||||||||||||||||||||
0.1640625 ~ 0.1718750 :   27	|||||||||||||||||||||||||||
0.1718750 ~ 0.1796875 :   27	|||||||||||||||||||||||||||
0.1796875 ~ 0.1875000 :   15	|||||||||||||||
0.1875000 ~ 0.1953125 :   27	|||||||||||||||||||||||||||
0.1953125 ~ 0.2031250 :   21	|||||||||||||||||||||
0.2031250 ~ 0.2109375 :   30	||||||||||||||||||||||||||||||
0.2109375 ~ 0.2187500 :   34	||||||||||||||||||||||||||||||||||
0.2187500 ~ 0.2265625 :   27	|||||||||||||||||||||||||||
0.2265625 ~ 0.2343750 :   32	||||||||||||||||||||||||||||||||
0.2343750 ~ 0.2421875 :   28	||||||||||||||||||||||||||||
0.2421875 ~ 0.2500000 :   53	|||||||||||||||||||||||||||||||||||||||||||||||||||||
0.2500000 ~ 0.2578125 :   61	|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
0.2578125 ~ 0.2656250 :   60	||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
0.2656250 ~ 0.2734375 :   78	||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
0.2734375 ~ 0.2812500 :   81	|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
0.2812500 ~ 0.2890625 :  105	|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
0.2890625 ~ 0.2968750 :  125	|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
0.2968750 ~ 0.3046875 :  121	|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
0.3046875 ~ 0.3125000 :  131	|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
0.3125000 ~ 0.3203125 :  147	|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
0.3203125 ~ 0.3281250 :  148	||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
0.3281250 ~ 0.3359375 :  166	||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
0.3359375 ~ 0.3437500 :  128	||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
0.3437500 ~ 0.3515625 :  138	||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
0.3515625 ~ 0.3593750 :  131	|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
